200,88,92
195,88,93
195,89,93
190,88,93
190,86,94
185,88,93
185,80,84
180,62,68
180,82,90
175,82,87
175,88,91
170,83,87
170,71,70
165,84,89
165,84,90
160,85,90
160,84,90
155,83,90
155,82,88
150,82,88
150,80,88
145,78,84
145,78,86
140,78,85
140,75,83
135,75,82
135,55,70
130,57,58
130,50,58
125,66,76
125,70,80
120,72,77
120,68,73
115,74,80
115,55,47
110,42,36
110,27,53
105,66,62
105,67,64
100,65,62
100,61,60
105,59,60
105,60,58
110,60,62
110,64,64
115,63,66
115,67,68
120,68,70
120,56,70
125,74,80
125,30,50
130,58,74
130,58,80
135,66,82
135,66,79
140,69,79
140,67,80
145,70,83
145,46,53
150,55,68
150,74,86
155,77,88
155,62,88
160,80,87
160,76,85
165,83,88
165,85,92
170,62,64
170,82,82
175,84,86
175,86,87
180,86,89
180,86,90
185,86,90
185,82,88
190,79,87
190,77,77
195,83,86
195,51,88
